Lat,Lng,Type,Value,Time
-45.839,170.508,temperature,13,1465021749
-45.839,170.508,temperature,13,1465021782
-45.839,170.508,temperature,13,1465021810
-45.839,170.508,temperature,13,1465021812
-45.839,170.508,temperature,13,1465021815
-45.839,170.508,temperature,13,1465021820
-45.839,170.508,temperature,13,1465021821
-45.839,170.508,temperature,13,1465021854
-45.839,170.508,temperature,13,1465021864
-45.839,170.508,temperature,13,1465021867
-45.839,170.508,temperature,13,1465021874
-45.839,170.508,temperature,13,1465021879
-45.839,170.508,temperature,13,1465021891
-45.839,170.508,temperature,13,1465021944
-45.839,170.508,temperature,13,1465021976
-45.839,170.508,temperature,13,1465021988
-45.839,170.508,temperature,13,1465021989
-45.839,170.508,temperature,13,1465021992
-45.839,170.508,temperature,13,1465022007
-45.839,170.508,temperature,12,1465022015
-45.839,170.508,temperature,12,1465022024
-45.839,170.508,temperature,12,1465022051
-45.839,170.508,temperature,12,1465022058
-45.839,170.508,temperature,12,1465022092
-45.839,170.508,undefined,12,1465022097
-45.839,170.508,temperature,12,1465022098
-45.839,170.508,temperature,12,1465022104
-45.839,170.508,temperature,12,1465022113
-45.839,170.508,temperature,12,1465022119
-45.839,170.508,temperature,12,1465022129
-45.839,170.508,temperature,12,1465022137
-45.839,170.508,temperature,12,1465022157
-45.839,170.508,temperature,12,1465022161
-45.839,170.508,temperature,12,1465022181
-45.839,170.508,temperature,12,1465022182
-45.839,170.508,temperature,12,1465022203
-45.839,170.508,temperature,12,1465022204
-45.839,170.508,temperature,12,1465022206
-45.839,170.508,temperature,12,1465022208
-45.839,170.508,temperature,12,1465022230
-45.839,170.508,temperature,12,1465022239
-45.839,170.508,temperature,12,1465022240
-45.839,170.508,temperature,12,1465022243
-45.839,170.508,temperature,12,1465022266
-45.839,170.508,temperature,12,1465022268
-45.839,170.508,temperature,12,1465022271
-45.839,170.508,temperature,12,1465022281
-45.839,170.508,temperature,12,1465022296
-45.839,170.508,temperature,12,1465022299
-45.839,170.508,temperature,12,1465022306
-45.839,170.508,temperature,12,1465022333
-45.839,170.508,temperature,12,1465022338
-45.839,170.508,temperature,12,1465022350
-45.839,170.508,temperature,12,1465022358
-45.839,170.508,temperature,12,1465022361
-45.839,170.508,temperature,12,1465022364
-45.839,170.508,temperature,12,1465022370
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,1,255,255
0,0,1,255,255
0,0,1,255,255
0,0,1,255,255
0,0,1,12,1467952340
0,0,1,12,1467952467
0,0,1,12,1467952647
0,0,1,12,1467952647
0,0,1,12,1467952691
0,0,1,12,1467952691
0,0,1,12,1467952691
0,0,1,12,1467952692
0,0,1,12,1467952692
0,0,1,12,1467952692
0,0,1,12,1467952692
0,0,1,12,1467952692
0,0,1,12,1467952692
0,0,1,12,1467952693
0,0,1,12,1467952693
0,0,1,12,1467952693
0,0,1,12,1467952693
0,0,1,12,1467952693
0,0,1,12,1467952694
0,0,1,12,1467952694
0,0,1,12,1467952694
0,0,1,12,1467952694
0,0,1,12,1467952694
0,0,1,1212,1468053486
0,0,1,1212,1468053486
0,0,1,1212,1468053486
0,0,1,1212,1468053486
0,0,1,1212,1468053486
0,0,1,1212,1468053486
0,0,1,1212,1468053486
0,0,1,1212,1468053486
0,0,1,12,1468054060
0,0,1,12,1468054060
0,0,1,12,1468054061
0,0,1,12,1468054061
0,0,1,12,1468054061
0,0,1,12,1468054061
0,0,1,12,1468054061
0,0,1,12,1468054060
0,0,1,12,1468054060
0,0,1,12,1468054061
0,0,1,12,1468054061
0,0,1,12,1468054061
0,0,1,12,1468054061
0,0,1,12,1468054061
0,0,1,12,1468054162
0,0,1,12,1468054163
0,0,1,12,1468054163
0,0,1,1212,1468115514
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115516
0,0,1,1212,1468115514
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115516
0,0,1,1212,1468115514
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115516
0,0,1,1212,1468115514
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115516
0,0,1,1212,1468115514
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115515
0,0,1,1212,1468115516
0,0,3,10,83
-45.839,170.508,1,20,1468142193
-45.839,170.508,1,20,1468143062
-45.839,170.508,1,20,1468143472
-45.839,170.508,1,20,1468143642
-45.839,170.508,1,20,1468143683
-45.839,170.508,1,20,1468143715
-45.839,170.508,1,20,1468143715
-45.839,170.508,1,20,1468143718
-45.839,170.508,1,20,1468143730
